# Source: 00_NEW_상품라인업.xlsx
# Path: \\Nas\공용_시장조사팀\01_상품기획파트\05_상품개발\00_NEW_상품라인업.xlsx
# mtime: 2026-08-21T11:36:27
# Sheets: CQR, TSLA_ATHLIO
# Mode: low-load read_only extract

## CQR
브랜드 | 이미지 | 구모델 | 모델명 | 발주서명 | 라인1 | 라인2 | 시리즈이름(OPT) | 스타일이름 | 원단이름 | 원단 정보 | 슬로건 | PR | 1번 | 스와치 컬러 | 스와치 포즈 | 촬영리뷰 파일 | 시즌
CQR |  |  | HOF120 | 플란넬셔츠 | Expedition | Hunter | 옴브레 | STONERIDGE |  | C100 FLANNEL | Where We Belong | KR03122_CQHOF110_PR | 모델컷 | 블루 | 바닥컷 | 2025_05 | 겨울
CQR |  | HOF103 | HOF123 | 플란넬셔츠 | Expedition | Hunter | 솔리드 | STONERIDGE |  | C100 FLANNEL | Safe in The Wild | KR03122_CQHOF110_PR | 바닥컷 | 화이트 | 바닥컷 | 2025_05 | 겨울
CQR |  |  | HOS215 | 폴라플리스셔츠 | Expedition | Rider |  |  | Bush Blend | P100 POLAR FLEECE | Soft as Nature, Warm as a Campfire. | KR19111_CQHOS210_PR | 바닥컷 | 화이트 | 바닥컷 |  | 겨울
CQR |  | HOS210 / HOS211 | HOS219 | 폴라플리스셔츠 | Expedition | Rider |  | OUTLAND | Bush Blend | P100 POLAR FLEECE | Soft as Nature, Warm as a Campfire. | KR19111_CQHOS210_PR | 바닥컷 | 베이지 | 바닥컷 | 2025_04 | 겨울
CQR |  |  | HOS217 | 폴라플리스셔츠 | Expedition | Rider |  | OUTSCAPE | Bush Blend | P100 POLAR FLEECE | Soft as Nature, Warm as a Campfire. | KR19111_CQHOS210_PR | 바닥컷 | 블루 | 바닥컷 |  | 겨울
CQR |  |  | HOS212 | 폴라플리스셔츠 | Covert |  |  |  | Bush Blend | P100 POLAR FLEECE | Soft as Nature, Warm as a Campfire. | KR19111_CQHOS210_PR | 바닥컷 | 오렌지 | 바닥컷 |  | 겨울
CQR |  |  | TOS801 | 냉감컴뱃셔츠 | Liberator | Modern |  | TAC-CHILL |  | C61/N36/S3 | Stay Focused, Stay Cool | KR21011_CQTOS201_PR | 마네킹 | 파랑 | 마네킹 |  | 사계절
CQR |  | TOS203 | TOS601 | 컴뱃셔츠 | Liberator | Modern |  | RAIDER | LITE-FLEX | P64/C34/S2 | Built for Real Field | KR21011_CQTOS201_PR | 마네킹 | 화이트 | 마네킹 |  | 사계절
CQR |  | TOS204 | TOS602 | 컴뱃셔츠 | Liberator | Modern |  | RAIDER | LITE-FLEX | P64/C34/S2 | Built for Real Field | KR21011_CQTOS201_PR | 마네킹 | 화이트 | 마네킹 |  | 사계절
CQR |  | TOS211 | TOS611 | 컴뱃셔츠 | Liberator | Modern |  | RAIDER PRO | LITE-FLEX | P64/C34/S2 | Born to the Field | KR21011_CQTOS201_PR | 마네킹 | 베이지 | 마네킹 |  | 사계절
CQR |  | TOS212 | TOS612 | 컴뱃셔츠 | Liberator | Modern |  | RAIDER PRO | LITE-FLEX | P64/C34/S2 | Born to the Field | KR21011_CQTOS201_PR | 마네킹 | 베이지 | 마네킹 |  | 사계절
CQR |  |  | HKZ300 | 폴리스웨터 | Covert |  | Wanderlust | VALLEY |  | P100 POLY FLEECE | The Journey Starts in Wanderlust Vally -> Into the Valley -> Into the Drift | KR04091_CQHKZ303_PR | 모델컷 | 화이트 | 바닥컷 | 2025_04 | 겨울
CQR |  |  | HKZ303 | 폴리스웨터 | Covert |  | Wanderlust | CREST |  | P100 POLY FLEECE | Crest the Journey with Wanderlust  -> Rise in the Wild -> Rise in the Flow | KR04091_CQHKZ303_PR | 모델컷 | 베이지 | 바닥컷 | 2025_04 | 겨울
